Address,Year_Built,Story_Number,Unit_Number,Evaluation_Score,Parking_Area,Elevator_Maintenance,Building_Cleanliness,Windows
100 Toronto Road,1940,16,54,74,0,3,2,3
101 Toronto Road,1999,15,79,20,0,1,0,1
102 Toronto Road,1916,35,307,23,1,1,3,2
103 Toronto Road,1904,10,101,37,3,0,3,3
104 Toronto Road,1903,14,240,51,2,2,2,2
105 Toronto Road,2017,40,673,44,1,1,1,1
106 Toronto Road,1935,14,23,26,1,1,1,0
107 Toronto Road,1859,46,719,36,1,3,1,3
108 Toronto Road,1986,11,648,89,3,0,3,0
109 Toronto Road,1886,34,84,55,2,2,2,0
110 Toronto Road,1878,35,96,56,3,3,0,1
111 Toronto Road,1922,46,239,35,1,0,3,0
112 Toronto Road,2001,10,313,30,1,2,2,3
113 Toronto Road,1985,14,711,38,0,1,3,0
114 Toronto Road,1973,47,540,96,3,2,1,0
115 Toronto Road,1845,22,265,11,3,1,0,1
116 Toronto Road,1881,34,153,45,1,0,0,0
117 Toronto Road,1853,34,669,63,0,3,1,0
118 Toronto Road,1862,42,405,24,1,3,2,2
119 Toronto Road,1896,20,441,27,2,3,1,1
120 Toronto Road,1839,38,613,76,1,3,1,0
121 Toronto Road,1932,42,301,20,2,3,0,3
122 Toronto Road,2023,46,673,45,1,1,1,0
123 Toronto Road,1880,47,370,10,1,1,1,2
124 Toronto Road,1893,22,304,42,1,3,3,1
125 Toronto Road,1864,51,274,97,0,1,3,3
126 Toronto Road,1955,18,199,47,1,2,1,0
127 Toronto Road,1912,51,573,89,2,0,2,3
128 Toronto Road,1902,15,178,39,0,0,3,3
129 Toronto Road,1854,19,422,67,3,2,0,3
130 Toronto Road,1891,28,30,14,2,1,1,1
131 Toronto Road,1847,45,112,69,3,3,3,1
132 Toronto Road,1872,5,589,92,0,0,0,1
133 Toronto Road,1927,3,351,42,2,1,2,1
134 Toronto Road,1934,38,56,82,0,1,2,0
135 Toronto Road,1948,26,100,81,0,1,1,2
136 Toronto Road,1872,19,428,89,0,3,0,0
137 Toronto Road,1988,51,199,0,3,2,3,3
138 Toronto Road,1973,13,368,97,0,3,0,1
139 Toronto Road,1984,13,682,39,3,1,0,3
140 Toronto Road,2006,42,329,92,3,1,0,3
141 Toronto Road,1841,34,644,100,0,3,1,3
142 Toronto Road,1993,24,386,37,3,2,3,3
143 Toronto Road,1889,42,676,82,0,2,1,3
144 Toronto Road,2010,26,395,7,3,2,1,1
145 Toronto Road,1893,20,145,23,3,0,2,0
146 Toronto Road,1936,31,701,64,1,0,0,2
147 Toronto Road,1959,45,336,22,2,2,3,1
148 Toronto Road,1917,37,683,14,2,1,0,1
149 Toronto Road,1869,5,222,25,2,1,2,1
150 Toronto Road,1975,42,208,52,3,0,2,2
151 Toronto Road,1931,50,688,48,2,2,0,1
152 Toronto Road,1931,39,123,86,2,0,1,1
153 Toronto Road,1928,23,593,72,0,3,3,0
154 Toronto Road,1969,32,378,40,2,1,1,0
155 Toronto Road,1997,13,476,23,0,3,0,0
156 Toronto Road,1989,30,688,41,1,1,3,1
157 Toronto Road,2001,8,270,6,1,2,3,1
158 Toronto Road,1875,9,189,39,3,2,1,0
159 Toronto Road,2010,40,324,77,2,3,3,1
160 Toronto Road,1857,6,149,54,1,1,0,3
161 Toronto Road,1955,47,693,54,2,0,0,2
162 Toronto Road,1852,3,660,38,2,2,0,2
163 Toronto Road,1950,26,42,91,1,1,3,0
164 Toronto Road,1971,33,336,77,0,0,2,3
165 Toronto Road,1903,6,138,49,2,1,2,1
166 Toronto Road,1868,30,34,100,3,2,3,1
167 Toronto Road,1898,15,74,95,2,3,3,1
168 Toronto Road,1889,44,122,49,1,1,1,1
169 Toronto Road,1890,29,36,34,1,0,2,0
170 Toronto Road,1986,7,444,98,2,0,2,0
171 Toronto Road,1953,24,157,79,3,3,3,1
172 Toronto Road,1968,27,107,4,1,1,3,3
173 Toronto Road,1858,36,122,86,3,1,2,3
174 Toronto Road,1921,39,683,92,0,1,1,0
175 Toronto Road,1872,20,336,23,3,3,3,2
176 Toronto Road,1976,35,606,10,0,2,0,1
177 Toronto Road,1945,14,325,18,1,0,1,1
178 Toronto Road,1921,17,376,39,1,0,3,0
179 Toronto Road,1984,9,186,88,2,3,3,0
180 Toronto Road,1882,18,454,57,1,1,1,0
181 Toronto Road,1985,40,330,25,2,0,2,1
182 Toronto Road,1889,42,533,27,3,1,2,1
183 Toronto Road,2013,13,245,67,0,3,2,3
184 Toronto Road,1856,25,559,25,1,2,2,2
185 Toronto Road,1870,11,95,29,3,1,1,2
186 Toronto Road,1950,21,276,44,0,0,1,1
187 Toronto Road,1961,14,658,23,3,3,0,3
188 Toronto Road,1971,41,575,36,0,2,1,3
189 Toronto Road,1865,12,591,6,1,2,0,3
190 Toronto Road,1897,25,707,54,0,2,1,2
191 Toronto Road,1856,21,272,13,3,2,1,1
192 Toronto Road,1900,17,603,100,0,2,0,2
193 Toronto Road,2013,28,93,47,3,3,1,3
194 Toronto Road,1999,40,377,88,2,2,0,3
195 Toronto Road,1850,22,558,5,1,2,0,1
196 Toronto Road,1953,10,273,33,1,0,2,2
197 Toronto Road,1926,41,295,63,2,3,2,1
198 Toronto Road,2022,13,464,89,2,2,0,2
199 Toronto Road,1853,49,268,28,2,1,2,0
200 Toronto Road,1859,48,683,88,0,2,1,2
201 Toronto Road,1971,20,533,58,3,2,2,1
202 Toronto Road,1945,3,240,8,0,2,1,2
203 Toronto Road,1914,50,16,50,3,3,3,0
204 Toronto Road,1889,24,397,47,0,1,1,0
205 Toronto Road,2014,35,595,86,1,2,2,0
206 Toronto Road,1925,38,123,96,2,0,0,2
207 Toronto Road,1937,8,707,53,3,2,0,0
208 Toronto Road,1930,14,561,13,2,2,1,1
209 Toronto Road,1945,18,81,42,1,0,0,0
210 Toronto Road,2006,16,124,30,0,2,3,0
211 Toronto Road,1897,8,449,18,1,3,0,3
212 Toronto Road,1884,46,75,15,2,2,1,0
213 Toronto Road,1847,20,287,75,2,0,3,3
214 Toronto Road,1893,50,608,51,1,0,1,1
215 Toronto Road,2011,38,299,31,1,2,3,2
216 Toronto Road,1886,15,58,39,3,1,0,3
217 Toronto Road,1948,27,446,28,0,2,1,1
218 Toronto Road,1944,23,580,94,2,0,2,1
219 Toronto Road,1961,21,372,93,1,3,0,1
220 Toronto Road,1868,34,231,6,0,1,1,1
221 Toronto Road,1946,29,632,66,1,3,2,3
222 Toronto Road,1981,42,168,90,1,3,2,2
223 Toronto Road,1986,6,209,69,2,3,3,2
224 Toronto Road,1909,30,550,1,0,2,1,0
225 Toronto Road,1898,18,531,99,3,2,3,2
226 Toronto Road,1869,20,466,74,3,0,0,2
227 Toronto Road,1892,8,54,77,2,0,2,2
228 Toronto Road,2011,49,388,72,2,0,3,2
229 Toronto Road,1904,37,134,89,0,1,3,1
230 Toronto Road,1934,29,290,6,3,1,3,0
231 Toronto Road,1881,44,75,61,3,1,3,1
232 Toronto Road,1894,31,668,24,0,3,3,1
233 Toronto Road,1960,34,239,26,1,2,2,2
234 Toronto Road,1866,30,484,5,0,3,1,2
235 Toronto Road,1860,43,494,37,1,2,1,1
236 Toronto Road,1898,21,265,45,3,1,3,1
237 Toronto Road,2013,12,707,3,1,1,1,2
238 Toronto Road,1889,48,544,91,0,2,1,3
239 Toronto Road,2014,10,165,77,0,2,2,0
240 Toronto Road,1984,39,575,92,2,0,0,3
241 Toronto Road,1860,6,408,37,1,0,3,2
242 Toronto Road,2012,7,262,71,1,0,0,3
243 Toronto Road,1927,51,477,59,1,1,1,0
244 Toronto Road,1894,22,53,63,2,0,1,0
245 Toronto Road,2014,26,649,23,3,1,2,3
246 Toronto Road,1861,41,633,33,0,1,0,0
247 Toronto Road,1895,28,446,37,1,3,2,2
248 Toronto Road,1920,27,93,30,2,0,1,2
249 Toronto Road,1881,29,243,89,1,3,0,1
250 Toronto Road,1944,38,442,98,1,2,1,2
251 Toronto Road,1995,3,48,90,3,2,1,1
252 Toronto Road,1978,28,161,43,3,0,3,0
253 Toronto Road,1883,26,265,17,0,2,1,1
254 Toronto Road,1866,28,497,78,0,2,1,2
255 Toronto Road,1993,48,29,85,2,3,0,2
256 Toronto Road,1970,24,536,42,2,2,2,1
257 Toronto Road,1949,39,408,25,3,3,0,3
258 Toronto Road,1896,32,470,51,3,2,1,3
259 Toronto Road,1883,32,449,41,1,0,3,3
260 Toronto Road,1847,27,12,60,2,1,3,1
261 Toronto Road,1904,12,118,62,3,1,1,0
262 Toronto Road,1905,51,89,17,2,0,3,3
