year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1990,3179 YONGE ST,5,110,88,2,3,3,3,1990,88.76712328767124
1986,5430 YONGE ST,14,239,89,1,3,3,2,1980,89.2235294117647
1970,5900 YONGE ST,13,233,97,2,3,3,3,1970,88.4402489626556
1963,6000 YONGE ST,18,265,97,2,3,3,3,1960,87.9720394736842
1968,6210 YONGE ST,7,83,93,2,3,3,3,1960,87.9720394736842
1966,90 YORK GATE BLVD,4,40,86,1,3,1,3,1960,87.9720394736842
1965,100 YORK GATE BLVD,11,133,85,2,3,3,3,1960,87.9720394736842
1970,740 YORK MILLS RD,19,137,97,3,3,3,3,1970,88.4402489626556
1967,1200 YORK MILLS RD,16,222,90,0,3,3,3,1960,87.9720394736842
1967,1202 YORK MILLS RD,22,219,85,1,3,3,2,1960,87.9720394736842
1963,1210 YORK MILLS RD,10,91,91,2,3,3,3,1960,87.9720394736842
1964,1216 YORK MILLS RD,8,65,95,2,3,3,3,1960,87.9720394736842
2023,1225 YORK MILLS RD,12,140,96,3,3,3,2,2020,98.76923076923077
1965,1300 YORK MILLS RD,8,112,88,2,3,3,1,1960,87.9720394736842
2018,20 ZACHARY CRT,7,77,94,3,3,3,2,2010,96
1967,25 STONG CRT,14,151,92,2,3,2,2,1960,87.9720394736842
1974,44 STUBBS DR,7,84,91,2,3,3,3,1970,88.4402489626556
2006,259 SUMACH ST,3,47,81,2,0,2,3,2000,91.13793103448276
1948,260 SUMACH ST,3,48,81,2,0,2,3,1940,83.27777777777777
1952,468 SUMMERHILL AVE,3,34,87,1,0,3,3,1950,86.53728070175438
2012,3 SUMMERLAND TER,26,283,100,3,3,3,3,2010,96
1950,1 SUPERIOR AVE,4,23,79,2,3,2,2,1950,86.53728070175438
1965,2 SUPERIOR AVE,5,47,88,2,3,3,3,1960,87.9720394736842
1950,3 SUPERIOR AVE,7,62,91,2,3,3,3,1950,86.53728070175438
1960,3 SWIFT DR,5,61,83,2,3,2,2,1960,87.9720394736842
1970,75 TALARA DR,4,66,96,3,3,3,3,1970,88.4402489626556
1968,10 TEESDALE PL,24,285,91,2,3,2,3,1960,87.9720394736842
1970,20 TEESDALE PL,24,284,89,2,3,2,3,1970,88.4402489626556
1931,9 TENNIS CRES,4,54,99,3,0,3,3,1930,84.36363636363636
1950,4 THE DONWAY E,4,40,90,3,3,3,3,1950,86.53728070175438
1989,7 THE DONWAY E,4,70,92,2,3,3,3,1980,89.2235294117647
1960,12 THE DONWAY E,4,40,96,2,3,3,3,1960,87.9720394736842
1960,14 THE DONWAY E,4,40,93,2,3,3,3,1960,87.9720394736842
1963,18 THE DONWAY E,7,76,92,2,3,3,3,1960,87.9720394736842
